vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title,overview_vader_pos,overview_vader_neg,overview_vader_neu,overview_vader_compound,tagline_vader_pos,tagline_vader_neg,tagline_vader_neu,tagline_vader_compound,overview_word_count,tagline_word_count
5.5,46000000,107196498,19.643365,99.0,308,61196498,2.330358652173913,17.6441519761925,18.490174147485583,3.027393960270672,334,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Shaft,0.114,0.17,0.716,-0.7003,0.0,0.0,1.0,0.0,55,5
7.4,53000000,139804348,45.565918,94.0,1432,86804348,2.637817886792453,17.78580249038432,18.75575449600687,3.840868900157047,450,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Anastasia,0.089,0.145,0.766,-0.7003,0.448,0.0,0.552,0.7579,73,10
7.4,52500000,179213434,57.374341,127.0,1300,126713434,3.413589219047619,17.77632374660947,19.004088027793053,4.06687642684611,293,7.5,7.5,7.52,2001.0,9.0,2000.0,1,0,1,3,3,1,Moulin Rouge!,0.321,0.048,0.631,0.9594,0.131,0.385,0.484,-0.569,49,10
5.4,75000000,54249294,8.41856,89.0,113,-20750706,0.72332392,18.13299868483392,17.809100554908696,2.2426822106609987,108,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Domestic Disturbance,0.0,0.0,1.0,0.0,0.271,0.0,0.729,0.3818,19,8
6.3,53000000,98837872,46.049902,122.0,1242,45837872,1.8648655094339623,17.78580249038432,18.40899141922545,3.8512087831386776,209,7.5,7.5,7.52,2015.0,4.0,2010.0,1,0,1,3,1,1,Black Mass,0.061,0.172,0.767,-0.722,0.0,0.516,0.484,-0.4939,38,4
6.7,90000000,65900249,23.9366,132.0,526,-24099751,0.7322249888888889,18.31532023940565,18.003652793092247,3.2163366037732506,315,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Flags of Our Fathers,0.036,0.08,0.884,-0.4019,0.215,0.37,0.415,-0.4588,57,11
7.2,53000000,126690726,49.593978,109.0,1486,73690726,2.3903910566037734,17.78580249038432,18.65725945397838,3.923832557353239,214,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Law Abiding Citizen,0.174,0.106,0.72,0.278,0.0,0.318,0.682,-0.1027,39,4
6.8,67000000,25037897,16.637642,191.0,459,-41962103,0.3736999552238806,18.02020319228061,17.035901154985634,2.870035368174163,177,7.5,7.5,7.52,2007.0,6.0,2000.0,1,1,1,3,2,1,Grindhouse,0.0,0.207,0.793,-0.7783,0.0,0.0,1.0,0.0,28,8
5.9,0,0,1.453765,172.0,26,0,0.0,0.0,0.0,0.8976235796820548,226,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,0,3,1,Beloved,0.132,0.073,0.794,0.5994,0.0,0.0,1.0,0.0,43,8
5.4,0,5761917,6.162872,124.0,81,5761917,0.0,0.0,15.566780963355614,1.9689110178649445,228,7.5,7.5,7.52,2007.0,1.0,2000.0,1,0,1,0,0,1,Lucky You,0.371,0.097,0.532,0.9423,0.0,0.0,1.0,0.0,37,6
7.7,52000000,352114312,73.944049,141.0,3795,300114312,6.771429076923077,17.76675429577647,19.67946643368249,4.316741821796558,292,7.566666666666666,7.6875,7.611111111111111,2005.0,7.0,2000.0,0,0,1,3,3,1,Catch Me If You Can,0.122,0.0,0.878,0.5719,0.257,0.284,0.459,-0.0772,52,7
6.7,40000000,132820716,38.306954,157.0,1702,92820716,3.3205179,17.50439003707821,18.70451078434566,3.671401449786904,184,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,2,3,1,Zero Dark Thirty,0.0,0.277,0.723,-0.91,0.512,0.0,0.488,0.6369,33,5
5.6,52000000,204999686,26.251217,106.0,832,152999686,3.9423016538461537,17.76675429577647,19.138519010272248,3.3050981806624598,358,7.5,7.5,7.52,2006.0,1.0,2000.0,1,0,1,3,0,1,The Break-Up,0.053,0.145,0.801,-0.6369,0.0,0.0,1.0,0.0,59,6
6.4,52000000,609841637,30.780599,108.0,1386,557841637,11.72772378846154,17.76675429577647,20.2287098715911,3.4588560092632266,347,7.5,7.5,7.52,2008.0,3.0,2000.0,1,0,1,3,1,1,Mamma Mia!,0.11,0.022,0.868,0.714,0.172,0.0,0.828,0.1695,63,9
5.7,52000000,216485654,25.41929,125.0,1013,164485654,4.163185653846154,17.76675429577647,19.193034844551107,3.274094425152457,589,7.5,7.5,7.52,2010.0,10.0,2010.0,1,0,1,3,3,1,Valentine's Day,0.136,0.143,0.721,-0.2406,0.457,0.0,0.543,0.6369,97,6
5.1,50000000,110803676,15.98212,104.0,316,60803676,2.21607352,17.72753358339242,18.523270517647397,2.832161025857705,447,7.5,7.5,7.52,2005.0,5.0,2000.0,1,0,1,3,1,1,The Dukes of Hazzard,0.078,0.042,0.88,0.4019,0.0,0.0,1.0,0.0,70,3
7.2,52000000,98126565,40.072583,170.0,771,46126565,1.887049326923077,17.76675429577647,18.401768693175168,3.715340818613161,662,7.4,7.25,7.6,2005.0,7.0,2000.0,0,0,1,3,3,1,The Thin Red Line,0.079,0.194,0.727,-0.9442,0.0,0.623,0.377,-0.765,108,6
