vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title
5.1,170000000,222104681,40.748915,106.0,1020,52104681,1.3064981235294115,18.951309000896888,19.21865936923679,3.731673462935218,265,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Wild Wild West
5.2,145000000,401128639,60.034162,112.0,1387,256128639,2.766404406896552,18.7922443072814,19.809792731831152,4.11143374020036,317,7.5,7.5,7.5200000000000005,2008.0,1.0,2000.0,1,0,1,3,0,1,The Mummy: Tomb of the Dragon Emperor
5.9,175000000,745000000,90.23792,123.0,7458,570000000,4.257142857142857,18.980296537602072,20.428894777686114,4.51347060013748,231,7.5,7.5,7.5200000000000005,2016.0,2.0,2010.0,1,0,1,3,0,1,Suicide Squad
5.3,175000000,173000000,27.082182,96.0,1151,-2000000,0.9885714285714284,18.980296537602072,18.9688021582424,3.335135282691319,100,7.5,7.5,7.5200000000000005,2007.0,9.0,2000.0,1,0,1,3,3,1,Evan Almighty
7.6,178000000,370541256,79.456485,113.0,4858,192541256,2.081692449438202,18.997294113874336,19.73047535142669,4.387716479263615,371,7.449999999999999,7.32,7.45625,2005.0,7.0,2000.0,0,0,1,3,3,1,Edge of Tomorrow
5.9,175000000,264218220,44.640292,135.0,992,89218220,1.5098184,18.980296537602072,19.392285914366305,3.8207909228699903,373,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Waterworld
5.6,175000000,302469017,32.852443,118.0,1962,127469017,1.7283943828571429,18.980296537602072,19.52748941035519,3.5220111680982233,296,7.5,7.5,7.5200000000000005,2009.0,4.0,2000.0,1,0,1,3,1,1,G.I. Joe: The Rise of Cobra
8.0,175000000,857611174,128.655964,94.0,6560,682611174,4.90063528,18.980296537602072,20.56966137874629,4.864884511697978,638,7.733333333333333,8.0,7.507692307692308,2015.0,9.0,2010.0,1,0,1,3,3,1,Inside Out
6.7,175000000,966550600,94.199316,106.0,2892,791550600,5.523146285714286,18.980296537602072,20.689244210130965,4.5559727568975585,200,6.7,6.7,7.2,2016.0,7.0,2010.0,1,1,0,3,2,1,The Jungle Book
6.6,200000000,623933331,77.300194,124.0,6849,423933331,3.119666655,19.11382792951231,20.25155408088234,4.360550080643752,372,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Iron Man 2
5.8,170000000,396600000,77.178973,127.0,3118,226600000,2.3329411764705883,18.951309000896888,19.798438776571402,4.359000723926518,395,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Snow White and the Huntsman
7.0,180000000,758539785,110.620647,97.0,4496,578539785,4.214109916666667,19.00846741441004,20.44690580890392,4.715106041795737,710,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Maleficent
7.3,170000000,710644566,243.791743,130.0,4410,540644566,4.180262152941176,18.951309000896888,20.381682957006444,5.500407820494153,200,7.3,7.3,7.527272727272727,2005.0,7.0,2000.0,0,0,1,3,3,1,Dawn of the Planet of the Apes
4.8,27000000,0,2.418535,109.0,34,-27000000,0.0,17.11134746100564,0.0,1.2292120967279583,444,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,2,3,1,The Lovers
5.9,175000000,150962475,41.796339,119.0,1326,-24037525,0.8626427142857143,18.980296537602072,18.832541860585877,3.756452561546043,520,7.5,7.5,7.5200000000000005,2013.0,6.0,2010.0,1,1,1,3,2,1,47 Ronin
